question,label
¿qué fecha es la vencimiento del próximo pago del monotributo?,temporal
¿cómo se puede obtener la historia de pagos realizados por el monotributo en línea?,temporal
¿cuáles son los métodos de pago permitidos para el monotributo en el año 2023?,temporal
¿qué documentos se necesitan para solicitar una exoneración del monotributo?,temporal
¿en qué fecha se publicarán los nuevos valores de la tabla monetaria del monotributo?,temporal
¿cuál es el plazo máximo para presentar un reclamo por error en el pago del monotributo?,temporal
¿puede un contribuyente pagar el monotributo con una tarjeta de débito o crédito?,temporal
¿cómo se puede verificar si la afip ha recibido correctamente el pago de un monotributo?,temporal
¿qué pasa si no se puede pagar el monotributo en el plazo establecido por la afip?,temporal
¿existe una posibilidad de rebaja en los impuestos del monotributo para empresas con ciertas características específicas?,temporal
