,Unnamed: 0,IUCA,Texto,Etiqueta
0,957,126,¿Cuáles son las entidades bancarias habilitadas para el pago del VEP?,entidad
1,958,126,¿Dónde pago el VEP?,entidad
2,960,126,¿Cuáles son los bancos habilitados para el pago con VEP?,entidad
3,1351,126,¿Cuáles son las entidades bancarias habilitadas para el pago del VEP?,entidad
4,270,36,¿Dónde debo solitar la CUIT?,ubicacion
5,271,36,Si quiero solicitar el CUIT de manera personal ¿Dónde debo hacerlo?,ubicacion
6,272,36,¿A qué lugar debo concurrir para solicitar el CUIT?,ubicacion
7,274,36,¿A dónde debo ir para tramitar el CUIT?,ubicacion
8,275,36,"Si quiero obtener el CUIT, ¿a dónde debo dirigirme?",ubicacion
9,276,36,"Para solicitar el CUIT personalmente, ¿a dónde tengo que ir?",ubicacion
10,277,36,"Si envío un tercero, ¿a dónde debe ir para obtener mi CUIT?",ubicacion
11,278,36,¿En qué lugar debo tramitar mi CUIT?,ubicacion
12,1260,36,¿En qué dependencia se debe solicitar la CUIT?,ubicacion
13,165,23,¿Cuántos empleados puedo tener?,cantidad
14,169,23,¿Cuál es la cantidad máxima de empleados que se pueden tener por categoría?,cantidad
15,171,23,¿Qué cantidad de empleados puedo tener?,cantidad
16,202,27,Si soy monotributista ¿Cuál es el precio máximo por unidad de venta?,cantidad
17,203,27,¿Cual es el tope máximo en el precio por unidad?,cantidad
18,204,27,¿Cual es el límite en el precio de los bienes que vendo para ser Monotributista?,cantidad
19,1251,27,¿Cuál es el precio máximo unitario de venta?,cantidad
20,88,12,¿Qué se paga en el Monotributo?,definicion
21,90,12,¿Qué significa pagar el Monotributo?,definicion
22,91,12,¿Qué items comprende el pago del Monotributo?,definicion
23,92,12,¿Qué estoy pagando cuando abono el monotributo?,definicion
24,93,12,¿Para qué se paga el monotributo?,definicion
25,94,12,¿Qué contempla el pago del monotributo?,definicion
26,109,15,¿qué significan Ingresos Brutos?,definicion
27,110,15,¿Cuáles son mis ingresos brutos?,definicion
28,111,15,¿Qué considera el monotributo como ingreso bruto?,definicion
29,112,15,¿Qué son los ingresos brutos?,definicion
30,113,15,¿Qué comprenden los ingresos brutos?,definicion
31,114,15,¿Qué son los ingresos brutos para los monotributistas?,definicion
32,219,30,¿Qué es una unidad de explotación?,definicion
33,220,30,¿Qué es una actividad económica?,definicion
34,221,30,¿Qué diferencia hay entre unidad de explotación y actividad económica?,definicion
35,224,30,¿Cuál es la diferencia entre unidad de explotación y actividad económica?,definicion
36,248,33,"En cuanto al pago del iva, ¿Que me corresponde pagar si soy monotributista?",definicion
37,249,33,¿Qué diferencia hay a efectos del crédito fiscal ser Resposable Inscripto o Monotributista?,definicion
38,250,33,¿Qué conceptos debo pagar siendo Monotributista?,definicion
39,316,41,¿Cuál es mi domicilio Fiscal?,definicion
40,317,41,¿Qué significa domicilio fiscal?,definicion
41,319,41,¿Cómo sé cuál es mi domicilio fiscal?,definicion
42,324,41,¿Qué diferencia hay entre domicilio fiscal y real?,definicion
43,443,55,¿Qué significa código único de revista?,definicion
44,448,55,¿Un código CUR cuántos dígitos debe tener?,definicion
45,449,55,¿Qué es el código CUR?,definicion
46,576,71,¿Qué siginifica recategorizarme?,definicion
47,579,71,¿Cómo se define la recategorización?,definicion
